HUL Code,HUL Outlet Name,Shikhar Onboarding,DETS ME Name,DETS Beat,FnR ME Name,FnR Beat,ECO,Shikhar
HUL-217701D-P11227,ABDUL MANNAN-D,YES,S K Islam,D-PHEARS LANE,0,,4455.76,0
HUL-217701D-P14987,Abdul Raheman-D,NO,S K Islam,D-PHEARS LANE,0,,1941.46,0
HUL-217701D-P13335,ABDUL RASHID-D,NO,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,1925.44,0
HUL-217701D-P11950,ABDUL RAZZAK-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,0,,1576.31,0
HUL-217085D-PAR13,Abdul Samadh-D-D,NO,Sourav Das,D-MECHUA 2,0,,7619.39,0
HUL-217701D-P11627,ABHIJIT HALDER-D,YES,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,6521.08,0
HUL-217701D-P13379,ABHISHEK SHARMA-D,NO,Sandip Saha,D-KALAKAR STREET,0,,2105.31,0
HUL-217085D-PAR15,ABHISHEK STORES-D-D,YES,Sandip Saha,D-KALAKAR STREET,Rajesh Karmakar,F-KALAKAR STREET 2,16401.4,1481.77
HUL-217085D-P1115,ABINASH KR MUNNA-D-D,YES,Sandip Saha,D-D C MITRA STREET,0,,5011.06,0
HUL-217085D-PAR16,ADALAT ROUTH-D-D,YES,Sunil Mullick,D-INDIA EXCHANGE PLACE_COMM,Soumik Ghosh,F-INDIA EXCH. PLACE,8851.26,5103.99
HUL-217085D-PAR17,ADDYAMA BHANDER-D-D,YES,Anjan Sarkar,D-M M TALA_COMM,Debojyoti Ghosh,F-M M TALA,2419.81,0
HUL-217701D-P10842,ADHIR KUMAR PAUL&SON-D,NO,Deepak Kumar Patel,D-BABU BAZAR 2,0,,0,0
HUL-217701D-P16944,Aditya General Store-U2NC,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,31072,4422.93
HUL-217701P-P4253,ADITYA STORE-P-Nuts,YES,0,,0,,117672.32,0
HUL-217701D-P21742,Afreen Bag House-D,NO,0,,0,,651.93,0
HUL-217701D-P22127,Afreen Store-D,NO,0,,Koina Prasad,F- BOW STREET 1,2215.53,0
HUL-217701D-P15318,Aftab Alam-D,YES,0,,0,,0,0
HUL-217701D-P11372,Agarwal Food Stores-D,YES,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,5647.76,2142.03
HUL-217085D-PAR18,Agarwal Food Stores-D-D,YES,Subir Mondal,D- NATUN BAZAR 3,Rajesh Karmakar,F-NIMTALA 2,1305.68,0
HUL-217701D-P13451,AGARWAL GENERAL STORE-D,YES,Sandip Saha,D-KALAKAR STREET,Rajesh Karmakar,F-KALAKAR STREET 2,0,0
HUL-217701D-P15167,AGARWAL STORE-D,YES,Sandip Saha,D-B. M STREET,Debojyoti Ghosh,F-B M STREET,4233.51,0
HUL-217701D-P6545,AHOBAN--D-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,12456.45,941.09
HUL-217701D-P11405,AJIT STORES-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,2193.25,0
HUL-217701D-P21595,Ajit Stores-D,YES,Subir Mondal,D- NATUN BAZAR 3,0,,3216.24,0
HUL-217701D-P13262,AKSHAY TRADING CO.-D,NO,Sourav Das,D-NIMTALA STREET 2,0,,0,0
HUL-217701D-P17118,ALAM STORES-D,YES,0,,0,,869.04,0
HUL-217085P-P680,ALHABIB Agency,YES,Sourav Das,D-MECHUA 2,0,,30506.95,1097.78
HUL-217085D-P1289,Aloke Dubey-D-D,YES,S K Islam,D-HASTINGS,Soumik Ghosh,F-HASTINGS EXTRA,6890.84,0
HUL-217701D-P15298,ALOKE Shaw,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,28297.34,0
HUL-217701D-P11577,AMBEY STORES-D,YES,0,,0,,0,0
HUL-217701D-P21414,Amit Agerwal-D,NO,S K Islam,D-BOW STREET(2)_COMM,0,,0,0
HUL-217085D-PAR30,Amit Stores-D-D,YES,Subir Mondal,D- NATUN BAZAR 3,Rajesh Karmakar,F-NIMTALA 2,5612.25,1207.49
HUL-217085D-P3645,AMRUTO STORES-D-D,YES,Sourav Das,D-KHOTTA BAZAR,Debojyoti Ghosh,F-KHOTTA BAZAR,33486.16,27664.68
HUL-217701D-P16969,Amush-D,YES,0,,0,,0,0
HUL-217701D-P22197,Anamika Enterprise-D,NO,S K Islam,D-BOW STREET (1)_COMM,0,,1230.61,0
HUL-217701D-P14484,ANAND GROCER STORE-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,1315.87,0
HUL-217085D-PAR34,ANAND GUPTA-D-D,YES,Sandip Saha,D-KALAKAR STREET,Rajesh Karmakar,F-KALAKAR STREET 2,-264.23,0
HUL-217701D-P13685,ANAND STORES-D,YES,0,,0,,505.36,0
HUL-217085D-P793,Ananda Moyee Bhander-D-D,YES,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,9262.36,0
HUL-217701D-P16156,Andul Gaffar-D,NO,0,,0,,341.92,0
HUL-217701D-P22291,ANIL & SAJAL-D,YES,0,,0,,1761.53,0
HUL-217701D-P11207,ANIL KUMAR DAS-D,NO,0,,0,,0,0
HUL-217701D-P13665,ANIL STORES-D,YES,Sourav Das,D-KHOTTA BAZAR,0,,3723.19,0
HUL-217085D-PAR31,ANIL STORES-D-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,6069.03,2301.33
HUL-217701D-P13865,ANJANA COLLECTION-D,NO,0,,0,,1561.83,0
HUL-217085D-PAR33,ANJU VARITY STORES-D,YES,0,,0,,0,0
HUL-217701D-P15223,Anklet Stores-D,NO,Sourav Das,D-MECHUA 1,0,,637.48,0
HUL-217701D-P8626,ANKUR ENTERPRISE-UNC,NO,Sanjay Das,D-Canning 3,0,,16512.99,0
HUL-217701D-P16238,Anmol General Store-D,NO,Sourav Das,D-MECHUA 1,0,,0,0
HUL-217085D-PAR38,Annapurna Bhandar(Natun2)-D-D,YES,Subir Mondal,D- NATUN BAZAR 3,Soumik Ghosh,F-NATUNBAZAR 2,1070.55,0
HUL-217701D-P12450,ANNAPURNA BHANDER(2)-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,0,,0,3550.05
HUL-217701D-P11267,ANNAPURNA BHANDER-D,NO,Sunil Mullick,D-KALAKAR STREET 2,0,,12188.06,0
HUL-217701D-P16585,ANNAPURNA BHANDER-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,3659.9,0
HUL-217701D-P17198,Annapurna Stores-D,YES,Sunil Mullick,D-BAGBAZAR,0,,3577.72,0
HUL-217432D-A006,ANSHUMAN SINGH-D-D,NO,Subir Mondal,D-RAJAKATRA - 2,0,,1246.79,0
HUL-217701D-P12735,ANUJ STORES-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,0,,1869.25,4900.24
HUL-217085D-PAR41,Anukul Stores-D-D,YES,Sandip Saha,D-B. M STREET,Debojyoti Ghosh,F-B M STREET,9039.24,0
WB70000752129,ANUKUL STORES-F-D,NO,0,,Md. Asraf Ashraf,F-RAJA KATRA,19817.28,0
HUL-217701D-P14897,Anusha Store-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,2291.68,0
HUL-217085D-PAR43,Apu Stores-D-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,Soumik Ghosh,F-NATUNBAZAR 2,14972.35,0
HUL-216252F-1573,APURBA TEA COMPANY B.K.PAUL)-F-D,YES,0,,Soumik Ghosh,F- AHIRITOLA STREET,8404.07,3386.79
HUL-217701D-P22148,Arabinda Ghosh-D,YES,0,,Soumik Ghosh,F- R.D.SARKAR STREET,1670.08,0
HUL-217701D-P9136,ARBIND KUMAR GUPTA,YES,Sandip Saha,D-D C MITRA STREET,0,,2018.48,0
HUL-217701D-P11332,ARBIND SHAW-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,0,,2718.67,4485.9
HUL-216252F-C696,ARJUN PRASAD(CR.AV-2)-F-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,15803.99,1684.84
HUL-217701D-P17068,Arjun Store-D,NO,0,,0,,0,0
HUL-217701D-P14309,ARNAB STORES-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,0,0
HUL-217701D-P12972,AROMA CARE GLOW TRADERS-D,NO,0,,0,,702.42,0
HUL-217085D-PAR47,Arun Hazra-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,Rajesh Karmakar,F-MECHUA 2,5066.64,0
HUL-217701P22452,ARUN SADHUKHAN,YES,0,,Md. Asraf Ashraf,F-RAJAKATRA 3,125178.03,0
HUL-217701D-P4438,ARUN STORE--IC-D,NO,Anjan Sarkar,D-BORTALA STREET 1,0,,2535.09,0
HUL-217701D-P6540,Arun Stores- D,YES,0,,Md. Asraf Ashraf,F-BURTOLA RETAIL,4271.37,0
HUL-217701D-P6524,Arun Stores-D,YES,Deepak Kumar Patel,D-DALPATTY,0,,6140.12,55727.4
HUL-217701D-P9151,ARUN STORES-D,YES,0,D-D C MITRA STREET,0,,0,0
HUL-217085D-PAR48,Arun Stores-D-D,NO,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,4834.13,0
HUL-217701D-P11137,Arun Stores-U2NC-D,YES,Sandip Saha,D-D C MITRA STREET,Debojyoti Ghosh,F-D C M STREET,12863.27,1120.54
HUL-217701D-P13755,ARUNA STATIONERS-D,YES,Sourav Das,D-D.C.M STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,1373.5,894.33
HUL-217701D-P16833,Arya Store-D,YES,Sourav Das,D-D.C.M STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,5014.91,1214.19
HUL-217701D-P13830,ASHA STORES-D,NO,Sourav Das,D-D.C.M STREET,0,,1016.92,0
HUL-217085D-PAR49,Asha Trading-D-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,Koina Prasad,F-B.K.PAUL,6603.11,0
HUL-217085D-PAR482,ASHARAM STORES-D-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,Rajesh Karmakar,F-NIMTALA 2,16015.39,3018.25
HUL-217085D-P1140,Ashirbad-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,0,,895.53,513.76
HUL-217701D-P14947,Ashis Kumar Sing-D,YES,Subir Mondal,D-JORABAGAN ST,Debojyoti Ghosh,F-KHOTTA BAZAR,2208.95,0
HUL-217085D-P797,Ashis Sadhukhan-D-D,YES,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,8299.85,1167.1
HUL-217701D-P21875,ASHIS STORES-D,YES,0,,0,,806.59,0
HUL-217085D-PAR51,Ashis Stores-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,0,,0,0
HUL-217701P22435,Ashis Variety Stores,NO,Sandip Saha,D-B. M STREET,0,,0,0
HUL-217701D-P15248,Ashok Shaw-D,NO,Sunil Mullick,D- D.C. M. STREET 2,0,,3238.12,0
HUL-217701D-P15273,ASHOKA ENTERPRISH-D,YES,Anjan Sarkar,D-RAM MANDIR,0,,0,0
HUL-217085D-PAR53,Ashoke & Raj-D-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,8313.72,0
HUL-217085D-P1162,ASHOKE SHAW-D-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,3520.47,0
HUL-217701D-P13554,ASHOKE STORES-D,YES,0,,0,,0,0
HUL-217701D-P13431,ASIF ENTERPRISE-D,NO,0,,0,,22934.67,0
HUL-217085D-P1352,ASIS STORES-D-D,YES,Sandip Saha,D-B. M STREET,0,,3193.85,0
HUL-217701D-P9002,Asit Samanta -D,YES,Subir Mondal,D- NATUN BAZAR 3,Soumik Ghosh,F-NATUNBAZAR 2,3119.7,-1100.92
HUL-217701D-P11392,Asoke Kumar-D,YES,Subir Mondal,D-NATUN BAZAR-1,Rajesh Karmakar,F-MECHUA 2,5305.43,2064.69
HUL-217701D-P17253,Asta Kundu Stores-U2NC,YES,0,,0,,1111.7,0
WB70000752130,AToSHI TRADERS,NO,0,,Md. Asraf Ashraf,F-RAJA KATRA,3301.5,0
HUL-217701D-P17915,avi stores-D,YES,0,,0,,2434.32,0
HUL-217085D-P801,Azad Stores-D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,18391.48,0
HUL-217085D-PAR60,B K DEY-D-D,YES,Anjan Sarkar,D-M M TALA_COMM,Debojyoti Ghosh,F-M M TALA,3548.01,0
HUL-217701D-P11995,B C PAUL-D,NO,0,,0,,0,0
HUL-217085D-PAR61,B D Panda-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,0,,0,0
HUL-217085D-P1007,B K GUPTA-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F- BOW STREET 1,2954.64,0
HUL-217085D-PAR65,B L Gupta-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,1293.04,0
HUL-217701D-P21805,B M Medical-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,0,,0,0
HUL-217085D-PAR67,B N Dey & Co-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,6172.3,0
HUL-217085D-P1288,B N Halder-D-D,NO,S K Islam,D-HASTINGS,Soumik Ghosh,F-HASTINGS EXTRA,1434.18,0
HUL-217085D-PAR68,B N Kar-D-D,YES,Sourav Das,D-D.C.M STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,4315.3,1589.91
HUL-217085D-PAR70,B P Ghosh-D-D,YES,Sunil Mullick,D-KALAKAR STREET 2,Rajesh Karmakar,F-KALAKAR STREET 2,9910.24,1243.72
HUL-217085D-PAR71,B P Jaiswal-D-D,YES,0,,Koina Prasad,F-B.K.PAUL,0,0
HUL-217701D-P6973,B SARKAR-D,YES,Sandip Saha,D-B. M STREET,Debojyoti Ghosh,F-B M STREET,12308.42,1771.29
HUL-217701D-P13539,B STORES-D,YES,Sandip Saha,D-D C MITRA STREET,0,,1282.79,0
WB70000102005,B. G. SUPPLIERS-D-D,YES,0,,0,,28613.96,0
HUL-217085D-P1250,B.B.SAHU & CO.-D-D,NO,0,,Koina Prasad,F-BOW STREET 2,0,0
HUL-217701D-P21644,B.K.Modi-D,YES,0,,Koina Prasad,F-M.G.ROAD,336.36,0
HUL-216252F-1182,B.K.SAHA & BROTHERS(CH.B)-F-D,YES,0,,Debojyoti Ghosh,F-CHATU BABU BAZAR,3210.22,0
HUL-217701D-P6899,B.S.ENTERPRISE-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,0,,29187.98,0
HUL-217701P-P4280,BABA (C L MUNDRA)-P,YES,Anjan Sarkar,D-BORTALA STREET 1,0,,2713.42,0
HUL-217085D-P1278,BABA BHUTHNATH ST-D-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,Soumik Ghosh,F-NATUNBAZAR 2,10176.84,0
HUL-217701D-P17793,Baba Bhutnath Stores-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,2445.41,2600.27
HUL-217701D-P7826,BABLU PRAJAPATI-D,NO,0,,Md. Asraf Ashraf,F-GUR PATTY,2883.74,0
HUL-217701D-P6742,Babu Bhai Grocery & Stationery-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,13348.31,1254.04
HUL-217701D-P7093,BADAL SHING-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,2587.17,0
HUL-217701D-P10937,BADRI PRASAD GUPTA-D,NO,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,0,,1790.46,0
HUL-217701D-P6602,Bagaria Enterprises-D,NO,Sanjay Das,D-CANNING STREET,0,,1300.92,0
HUL-217701D-P17397,BAIDYA NATH TEA Co.-D,NO,0,,Md. Asraf Ashraf,F-GUR PATTY,17464.44,0
HUL-217085D-PAR76,Baisali Stores-D-D,YES,0,,Md. Asraf Ashraf,F-NATUNBAZAR 1,1604.68,0
WB70000702006,BAISHAKHI STORE-D-D,YES,Subir Mondal,D-RAJAKATRA - 2,0,,13983.45,18322.72
HUL-217085D-PAR81,Balai Sai-D-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,3993.41,0
HUL-217701D-P15238,Balaji St-D,YES,Subir Mondal,D-JORABAGAN ST,Soumik Ghosh,F- NIMTALA GHAT STREET,2398.69,1513.96
HUL-217701D-P11232,BALAJI STORES-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,0,,2387.89,0
HUL-217701D-P11723,BALAJI STORES-D,YES,0,,0,,909.94,0
HUL-217085D-P1238,Balaji Stores-D-D,NO,0,,0,,1542.08,784.26
HUL-217701D-P21735,Balaji Traders-D,NO,0,,Md. Asraf Ashraf,F-RAJA KATRA,1983.37,0
HUL-217701D-P21693,Balaji Trading-F,NO,0,,Md. Asraf Ashraf,F-GUR PATTY,3388.09,0
HUL-217085D-PAR83,BANDI SINGH-D-D,NO,0,,0,,0,0
HUL-217085D-P1016,BANGLA STORES-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,4072.7,705.75
HUL-217701D-P21588,BANIK STORES-D,YES,Subir Mondal,D-JORABAGAN ST,0,,628.42,0
WB70000150276,BASAK ENTERPRISE-F-D,YES,0,,Md. Asraf Ashraf,F-BAGREE MARKET,5688.45,0
HUL-217701D-P4261,BASAK VAREITY-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,2047.77,0
HUL-217701D-P9271,BASANTA KUMAR KAR-D,NO,S K Islam,D-B K PAUL,0,,780.45,0
HUL-217701D-P13228,BASANTI STORES-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,1974.61,0
HUL-217085D-PAR88,BASU PAN MUSIUM-D-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,30942.85,3674.19
HUL-217085D-PAR90,Basudeb Sadhukhan-D-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,6353.77,0
HUL-217701D-P4456,BASUDEV STORES-D,YES,Anjan Sarkar,D-BORTALA STREET 1,Md. Asraf Ashraf,F-BURTOLA RETAIL,8416.81,0
HUL-217701P22441,Beauty Junction,YES,Sanjay Das,D-BAGREE,0,,645.69,5890.97
HUL-217701D-P13419,BEAUTY WORLD-D,YES,Sanjay Das,D-Canning 3,0,,68432.38,4320
HUL-217085D-PAR92,Bechu Singh-D-D,NO,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,3996.66,0
HUL-217432D-B007,BHABANI STORES-D-D,YES,Sanjay Das,D-CANNING STREET 1,0,,24449.47,19540.51
WB70000750319,BHABANI TEA-F-D,YES,0,,Md. Asraf Ashraf,F-GUR PATTY,129782.63,0
HUL-217085D-PAR94,BhabaniStores-D-D,YES,Sunil Mullick,D- D.C. M. STREET 2,Debojyoti Ghosh,F-D C M STREET,11006.37,1355.35
HUL-217701D-P17553,BHADRA KALI-D,NO,0,,Md. Asraf Ashraf,F-GUR PATTY,0,0
HUL-217085D-P3653,BHAGAWATI GEN. STORES-D-D,YES,Sourav Das,D-D.C.M STREET,Debojyoti Ghosh,F-B M STREET,356.67,0
HUL-217085D-PAR98,Bhagawati Prasad Shaw-D-D,YES,S K Islam,D-M G ROAD,Rajesh Karmakar,F-MECHUA 2,4189.86,0
HUL-217701D-P17548,BHAGWAN STORES-D,YES,Anjan Sarkar,D-BORTALA STREET 1,0,,2136.33,0
HUL-217701D-P17335,BHAGWATI STORES.-D,NO,0,,0,,0,0
HUL-217701D-P6831,BHAGWATI STORES-P-D,NO,0,,0,,485.67,40168.8
HUL-217085D-P3664,BHANIRAM KISHORILAL-D-D,YES,Sunil Mullick,D-INDIA EXCHANGE PLACE_COMM,Soumik Ghosh,F-INDIA EXCH. PLACE,759.89,6785.59
WB70000102329,BHARAT CH. SETH-D-D,NO,Deepak Kumar Patel,D-RAJAKATRA - 3_COMM,Md. Asraf Ashraf,F-GUR PATTY,7521.15,0
HUL-217701D-P21490,Bhaskar Communication-D,YES,Subir Mondal,D-RAJAKATRA - 2,0,,3574.86,0
HUL-217432D-B018,BHOLA BHANDAR-D-D,NO,Deepak Kumar Patel,D-BABU BAZAR 2,0,,0,0
HUL-217701D-P11833,BHOLA ENTERPRISES-D,NO,0,,Md. Asraf Ashraf,F-DAL PATTY,5415.48,0
HUL-217432D-B012,BHOLA PRASHAD GUPTA-D-D,YES,Deepak Kumar Patel,D-DALPATTY,0,,2423.75,25564.96
HUL-217701D-P11287,BHOLA SHAW-D,YES,Sandip Saha,D-D C MITRA STREET,0,,1835.51,0
HUL-217701D-P7008,BHOLA SHAW-D,YES,Sourav Das,D-NIMTALA STREET 2,Rajesh Karmakar,F-NIMTALA 2,5312.28,1268.9
HUL-217701D-P22099,Bhootnath Connection-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,Soumik Ghosh,F- AHIRITOLA STREET,3327.15,0
HUL-217701D-P7585,BHOWMOCK BROTHERS-D,YES,Sunil Mullick,D-BAGBAZAR,Soumik Ghosh,F-BAG BAZAR,2207.14,1141.32
HUL-217701D-P21393,Bijay Enterprise-D,NO,0,,0,,412.33,0
HUL-217701D-P21497,BIJAY KRISHNA PAUL-D,YES,0,,0,,18022.69,0
HUL-217701D-P15506,Bijay Shaw-D,YES,Sandip Saha,D-D C MITRA STREET,0,,2554.83,0
HUL-217085D-P1244,Bijoy Prasad Gupta-D-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,264.96,0
HUL-217701D-P6789,BIJOY SHAW-D-D,YES,Sourav Das,D-ZAKARIA STREET,Rajesh Karmakar,F-COLOOTOLA,-2584.69,4780.53
HUL-217085D-P3514,BIJOY STORES(ZAKARIA) - D-D,YES,Sourav Das,D-ZAKARIA STREET,Koina Prasad,F-M.G.ROAD,5831.84,2448.65
HUL-217701D-P13625,BIJOY STORES-D,YES,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,5271.85,1425.22
HUL-217701D-P11415,BIKASH DEY-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,3544.27,0
HUL-217085D-PAR113,Bikki Food Stores-D-D,YES,S K Islam,D-B K PAUL,Koina Prasad,F-B.K.PAUL,6067.21,0
HUL-217701D-P21966,Bimala Bhander-D,NO,Sandip Saha,D-CHATTUBABU BAZAR,0,,0,0
HUL-217085D-PAR116,Binadevi-D-D,NO,Sunil Mullick,D-R.D.STREET_COMM,0,,2397.98,0
HUL-217701D-P7781,Binapani Store-D,YES,Sourav Das,D-NIMTALA STREET 2,Rajesh Karmakar,F-NIMTALA 2,3311.82,0
HUL-217701D-P15439,BINDU CHOWRASIA-D,NO,0,,0,,1780.26,0
HUL-217701D-P22134,Binod Shaw-D,NO,0,,Soumik Ghosh,F- R.D.SARKAR STREET,550.23,0
HUL-217701D-P10927,BINOD STORES-D,NO,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,0,,1755.53,0
HUL-217701D-P7033,BIPIN BHANDER-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,5129.04,0
HUL-217701D-P7038,BIR SING-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,2362.7,0
HUL-217085D-PAR536,Biram Loke Agency.-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,5763.03,10961.44
HUL-217085D-PAR120,Biren Chandra Das-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,15979.59,0
HUL-217701D-P7721,BIRENDRA SHAW-D-U2NC,YES,Sunil Mullick,D- D.C. M. STREET 2,0,,3300.29,0
HUL-217085D-PAR122,Bisheswar Shaw-D-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,0,,4861.34,0
HUL-217085D-PAR123,Bishnu Stores-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,Rajesh Karmakar,F-MECHUA 2,3991.04,831.97
